DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4407230,13/10/2022 11:55:00,LOW,0-4407230,43.08011,5.97354
0-4407230,13/10/2022 11:50:00,LOW,0-4407230,43.07987,5.97309
0-4407230,13/10/2022 11:45:00,LOW,0-4407230,43.07962,5.97272
0-4407230,13/10/2022 11:40:00,LOW,0-4407230,43.07946,5.97229
0-4407230,13/10/2022 11:35:00,LOW,0-4407230,43.07931,5.97186
0-4407230,13/10/2022 11:30:00,LOW,0-4407230,43.0792,5.9715
0-4407230,13/10/2022 11:25:00,LOW,0-4407230,43.07909,5.97118
0-4407230,13/10/2022 11:20:00,LOW,0-4407230,43.07896,5.97094
0-4407230,13/10/2022 11:15:00,LOW,0-4407230,43.07878,5.97068
0-4407230,13/10/2022 11:10:00,LOW,0-4407230,43.07862,5.97045
0-4407230,13/10/2022 11:05:00,LOW,0-4407230,43.07845,5.97023
0-4407230,13/10/2022 11:00:00,LOW,0-4407230,43.07827,5.96995
0-4407230,13/10/2022 10:55:00,LOW,0-4407230,43.07805,5.9697
0-4407230,13/10/2022 10:50:00,LOW,0-4407230,43.07788,5.96937
0-4407230,13/10/2022 10:45:00,LOW,0-4407230,43.07765,5.96903
0-4407230,13/10/2022 10:40:00,LOW,0-4407230,43.07739,5.96869
0-4407230,13/10/2022 10:35:00,LOW,0-4407230,43.07713,5.96841
0-4407230,13/10/2022 10:30:00,LOW,0-4407230,43.07685,5.96815
0-4407230,13/10/2022 10:25:00,LOW,0-4407230,43.07655,5.96792
0-4407230,13/10/2022 10:20:00,LOW,0-4407230,43.07628,5.96772
0-4407230,13/10/2022 10:15:00,LOW,0-4407230,43.07603,5.96757
0-4407230,13/10/2022 10:10:00,LOW,0-4407230,43.07582,5.96749
0-4407230,13/10/2022 10:05:00,LOW,0-4407230,43.07553,5.96753
0-4407230,13/10/2022 10:00:00,LOW,0-4407230,43.07532,5.96764
0-4407230,13/10/2022 9:55:00,LOW,0-4407230,43.07516,5.9677
0-4407230,13/10/2022 9:50:00,LOW,0-4407230,43.07505,5.96792
0-4407230,13/10/2022 9:45:00,LOW,0-4407230,43.07499,5.96817
0-4407230,13/10/2022 9:40:00,LOW,0-4407230,43.075,5.96849
0-4407230,13/10/2022 9:35:00,LOW,0-4407230,43.07505,5.96886
0-4407230,13/10/2022 9:30:00,LOW,0-4407230,43.07515,5.96922
0-4407230,13/10/2022 9:25:00,LOW,0-4407230,43.07528,5.96957
0-4407230,13/10/2022 9:20:00,LOW,0-4407230,43.07543,5.96991
